"","X","alpha_0","beta","gamma","w","a","N_Lin.N","Mean_Lin.Z_mean","Var_Lin.Z_var","N_SD025.N","Mean_SD025.Z_mean","Var_SD025.Z_var","N_SD100.N","Mean_SD100.Z_mean","Var_SD100.Z_var","alpha_0","beta","gamma","w","a","N_SD050.N","Mean_SD050.Z_mean","Var_SD050.Z_var","N_SD075.N","Mean_SD075.Z_mean","Var_SD075.Z_var","N_SD125.N","Mean_SD125.Z_mean","Var_SD125.Z_var"
"58",58,1.640637,95.59336,0.278578,0.02341,4.7e-05,27908.04,0.585435,0.000103,27297.83,0.580143,0.000109,21474.1,0.55325,0.000212,1.640637,95.59336,0.278578,0.02341,4.7e-05,26613.3995868931,0.574434254999929,0.000121311996053929,25263.7574238288,0.567354607112007,0.000145848669902406,139.978713911573,0.494924695107124,0.0003307157430644
"59",59,0.803694,53.75701,0.121159,0.095526,6.5e-05,7509.533,0.536636,0.000197,7139.919,0.531286,0.00018,9559.645,0.572632,0.000406,0.803694,53.75701,0.121159,0.095526,6.5e-05,6832.1013768074,0.527276247594204,0.000170220513382163,6560.22293372032,0.523653806402473,0.000177284943834714,1.23392126835885e-09,0.180977707186022,0.000513990447486656
"60",60,1.783573,110.17537,0.234063,0.019331,8.9e-05,16569.4,0.581832,7.6e-05,15915.32,0.574884,8.3e-05,4643.783,0.514493,0.000205,1.783573,110.17537,0.234063,0.019331,8.9e-05,14946.5297766446,0.566843093120643,9.71541317815204e-05,12950.7514285905,0.554303523699322,0.000129707730468055,1.07588899764374e-20,0.259262909614016,0.000377604447890998
"61",61,0.912088,141.29798,0.299606,0.228222,9.8e-05,4115.642,0.571127,0.000114,0,0.1669,0.000341,0,0.070865,9.7e-05,0.912088,141.29798,0.299606,0.228222,9.8e-05,6.88933495697949e-51,0.120453525502968,0.000103682973566484,1.46122890823364e-52,0.102228490113267,9.93217644754492e-05,3.44538729117833e-55,0.050137304899346,9.47843883455169e-05
"62",62,2.239664,141.24086,0.251564,0.21902,1.5e-05,113421.2,0.59903,0.000143,113403.7,0.598589,0.000143,113562.2,0.597404,0.000157,2.239664,141.24086,0.251564,0.21902,1.5e-05,116794.497900114,0.59836228934442,0.000145894686726222,116806.043797405,0.598189834916089,0.000147099672298022,0.191968393288441,0.438111813978817,0.000221855124909738
"63",63,0.565715,62.52429,0.294776,0.364216,2.3e-05,0,0.140692,0.000487,0,0.12356,0.000351,0,0.070668,0.000191,0.565715,62.52429,0.294776,0.364216,2.3e-05,8.44367707133383e-48,0.122864362557933,0.000317106498278545,6.83774371353501e-49,0.102428499606213,0.000254113345572133,6.34156098890204e-50,0.0696150117957402,0.000184934026083426
"64",64,0.870975,74.45764,0.10912,0.226711,9.5e-05,5015.213,0.54217,0.000179,4490.963,0.53311,0.000146,0,0.13857,0.000347,0.870975,74.45764,0.10912,0.226711,9.5e-05,3959.86524377566,0.524118413112202,0.000120096357389002,1.23262582219059e-09,0.218815909242021,0.00105584993134809,7.0281312013643e-12,0.120080231532333,0.000292227824294374
"65",65,2.45271,121.32309,0.321226,0.367311,9.3e-05,17200.14,0.585162,6.7e-05,16658.51,0.579239,7.4e-05,417.3329,0.509323,0.000189,2.45271,121.32309,0.321226,0.367311,9.3e-05,15869.5572288617,0.57216079446688,8.74476519526558e-05,13797.5260386531,0.559757858413293,0.000123394286611089,7.09608757424821e-35,0.268380632112557,0.000566454658240846
"66",66,1.289324,104.94378,0.102204,0.048649,7.1e-05,15192.14,0.575133,9.9e-05,14184.1,0.565707,0.000108,5088.247,0.518064,0.000423,1.289324,104.94378,0.102204,0.048649,7.1e-05,12800.170145642,0.555446861467192,0.00012448385488469,10390.1919351782,0.540572406023466,0.000163525276679674,6469.56718619739,0.567665386031626,0.00104085573348256
"67",67,2.335967,93.60484,0.271951,0.337195,8.1e-05,19649.9,0.582797,8.3e-05,19109.26,0.576751,8.8e-05,13828.57,0.544089,0.000174,2.335967,93.60484,0.271951,0.337195,8.1e-05,18380.5863031024,0.570018064855874,9.9076599041103e-05,17143.4649926072,0.561470580272062,0.000120779724287208,359.223755067523,0.484492891702925,0.000226461489266979
