Day,Date,ID,Condition,Replicate,Count1,Count2,Count3,Mean,S.E.
12,20240303,Cont-3,Control,3,0,0,164000,54666.66667,54666.66667
12,20240303,Lin-1,Linear,1,135000,240000,223000,199333.3333,32538.86565
12,20240303,Lin-2,Linear,2,182000,93800,235000,170266.6667,41180.95568
12,20240303,Lin-3,Linear,3,328000,235000,194000,252333.3333,39641.44857
12,20240303,Lin-4,Linear,4,258000,258000,211000,242333.3333,15666.66667
12,20240303,Lin-5,Linear,5,147000,182000,328000,219000,55428.63279
12,20240303,Lin-6,Linear,6,158000,358000,229000,248333.3333,58538.68616
12,20240303,Lin-7,Linear,7,328000,217000,258000,267666.6667,32405.41793
12,20240303,SD025-1,SD025,1,64500,258000,422000,248166.6667,103318.4129
12,20240303,SD025-2,SD025,2,99700,352000,282000,244566.6667,75199.20951
12,20240303,SD025-3,SD025,3,82100,399000,282000,254366.6667,92518.65277
12,20240303,SD025-4,SD025,4,235000,223000,88000,182000,47127.48667
12,20240303,SD025-5,SD025,5,147000,282000,287000,238666.6667,45856.05497
12,20240303,Sd025-6,SD025,6,129000,364000,287000,260000,69168.87547
12,20240303,SD025-7,SD025,7,3800,129000,129000,87266.66667,41733.33333
12,20240303,SD100-1,SD100,1,475000,369000,287000,377000,54418.13423
12,20240303,SD100-2,SD100,2,182000,334000,393000,303000,62851.67725
12,20240303,SD100-3,SD100,3,270000,211000,352000,277666.6667,40883.30276
12,20240303,SD100-4,SD100,4,393000,317000,299000,336333.3333,28805.8636
12,20240303,SD100-5,SD100,5,293000,276000,381000,316666.6667,32538.86565
12,20240303,SD100-6,SD100,6,270000,604000,463000,445666.6667,96806.2211
12,20240303,SD100-7,SD100,7,334000,721000,369000,474666.6667,123580.3832
13,20240304,Cont-1,Control,1,23500,46900,0,23466.66667,13538.87407
13,20240304,Cont-2,Control,2,70400,0,0,23466.66667,23466.66667
13,20240304,Cont-3,Control,3,0,0,0,0,0
13,20240304,Lin-1,Linear,1,276000,182000,264000,240666.6667,29537.17056
13,20240304,Lin-2,Linear,2,88000,510000,147000,248333.3333,131937.2747
13,20240304,Lin-3,Linear,3,82100,176000,152000,136700,28165.40431
13,20240304,Lin-4,Linear,4,293000,176000,141000,203333.3333,45957.71003
13,20240304,Lin-5,Linear,5,129000,270000,135000,178000,46032.59715
13,20240304,Lin-6,Linear,6,223000,481000,235000,313000,84071.39823
13,20240304,Lin-7,Linear,7,129000,252000,305000,228666.6667,52129.11321
13,20240304,SD025-1,SD025,1,182000,305000,99700,195566.6667,59651.94418
13,20240304,SD025-2,SD025,2,111000,299000,205000,205000,54270.9253
13,20240304,SD025-3,SD025,3,229000,123000,117000,156333.3333,36374.59431
13,20240304,SD025-4,SD025,4,117000,205000,106000,142666.6667,31328.01373
13,20240304,SD025-5,SD025,5,240000,264000,88000,197333.3333,55103.94219
13,20240304,Sd025-6,SD025,6,481000,282000,258000,340333.3333,70673.74178
13,20240304,SD025-7,SD025,7,182000,252000,129000,187666.6667,35619.90704
